sample_id,compuesto_id,abundancia,unidad
laupheimer2024_mlo5_control_1dai_r10,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r11,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_1dai_r12,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r13,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r14,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r15,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_1dai_r16,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r17,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r18,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r19,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_control_3dai_r20,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r21,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r22,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r23,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_wt_infected_3dai_r24,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r25,laupheimer2024_cmp006,0.03,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r26,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r27,laupheimer2024_cmp006,0.04,concentracion_ng_per_gfw
laupheimer2024_mlo5_control_3dai_r28,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r29,laupheimer2024_cmp006,,concentracion_ng_per_gfw
laupheimer2024_mlo5_infected_3dai_r30,laupheimer2024_cmp006,,concentracion_ng_per_gfw
