sample_id,compuesto_id,abundancia,unidad
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp006,0.018835601,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp006,0.033938414,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp006,0.025764172,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp006,0.028610917,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp006,0.028756613,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp007,0.009995968,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp007,0.005063562,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp007,0.001291025,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp007,0.007832256,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp007,0.002723722,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp007,0.013782776,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp007,0.019954774,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp007,0.004151203,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp007,0.013828456,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp007,0.008722844,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp007,0.016187344,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp007,0.01188599,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp007,0.013471645,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp007,0.020126071,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp007,0.028876332,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp008,0.008147017,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp008,0.009218602,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp008,0.01100708,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp008,0.006560368,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp008,0.01089433,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp008,0.01016662,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp008,0.012872237,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp008,0.018436811,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp008,0.008191113,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp008,0.015521857,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp008,0.012896879,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp008,0.022415511,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp008,0.0138703,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp008,0.012072188,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp008,0.02017457,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp009,0.02613916,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp009,0.027738384,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp009,0.024107814,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp009,0.018125715,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp009,0.022524595,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp009,0.018644398,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp009,0.030390343,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp009,0.034902974,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp009,0.012816331,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp009,0.014420089,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp009,0.032399583,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp009,0.036576471,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp009,0.030560632,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp009,0.030723955,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp009,0.064726384,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp010,0.296350364,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp010,0.303726526,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp010,0.4201506,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp010,0.235433526,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp010,0.435901797,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp010,0.416940174,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp010,0.449818651,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp010,0.632500027,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp010,0.368406725,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp010,0.634923705,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp010,0.453517499,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp010,0.412370737,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp010,0.493179296,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp010,0.359788863,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp010,0.66060137,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp011,0.790744519,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp011,0.902594273,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp011,0.598373736,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp011,0.515365668,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp011,0.961894821,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp011,0.592809725,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp011,0.702629728,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp011,0.364088419,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp011,0.502962693,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp011,0.523041652,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp011,0.560571104,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp011,0.443107637,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp011,0.522658207,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp011,0.595034307,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp011,0.834977505,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp012,0.125833086,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp012,0.149369583,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp012,0.16236451,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp012,0.104213018,relative_to_internal_standard
ghosh2022_tomato_control_r05,ghosh2022_tomato_cmp012,0.190402531,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r01,ghosh2022_tomato_cmp012,0.229145929,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r02,ghosh2022_tomato_cmp012,0.184184802,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r03,ghosh2022_tomato_cmp012,0.213861124,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r04,ghosh2022_tomato_cmp012,0.122305171,relative_to_internal_standard
ghosh2022_tomato_healthy_whitefly_r05,ghosh2022_tomato_cmp012,0.342802915,relative_to_internal_standard
ghosh2022_tomato_virus_r01,ghosh2022_tomato_cmp012,0.137864252,relative_to_internal_standard
ghosh2022_tomato_virus_r02,ghosh2022_tomato_cmp012,0.111083747,relative_to_internal_standard
ghosh2022_tomato_virus_r03,ghosh2022_tomato_cmp012,0.151736441,relative_to_internal_standard
ghosh2022_tomato_virus_r04,ghosh2022_tomato_cmp012,0.1065436,relative_to_internal_standard
ghosh2022_tomato_virus_r05,ghosh2022_tomato_cmp012,0.200242744,relative_to_internal_standard
ghosh2022_tomato_control_r01,ghosh2022_tomato_cmp013,0.024330166,relative_to_internal_standard
ghosh2022_tomato_control_r02,ghosh2022_tomato_cmp013,0.023309121,relative_to_internal_standard
ghosh2022_tomato_control_r03,ghosh2022_tomato_cmp013,0.018098595,relative_to_internal_standard
ghosh2022_tomato_control_r04,ghosh2022_tomato_cmp013,0.015233561,relative_to_internal_standard
